cont,tag
看官，此页面只为爬虫练习使用，...,"艺术,名画"
下面每一幅都是上亿？你造几？,"艺术,名画"
各种时代，各国诗人，个抓个的痒...,"木心,艺术"
如果你因失去了太阳而流泪，那么...,"泰戈尔,生活"
神话，是大人说小孩的话，说给大...,"木心,智慧"
小时的伙伴就像小时的衣服，长大...,"木心,人生"
不要因为峭壁是高的，便让你的爱...,"泰戈尔,爱情"
如果你因失去了太阳而流泪，那么...,"智慧,泰戈尔"
夏天的飞鸟，飞到我的窗前唱歌，...,"智慧,泰戈尔"
Whenever people...,"智慧,王尔德"
Women are meant...,"爱情,王尔德"
The world has b...,"人生,王尔德"
There are only...,"人生,王尔德"
Ordinary riches...,"人生,王尔德"
少年不识愁滋味，爱上层楼。爱上...,
问世间，情为何物，直教生死相许...,"爱情,绝世好词"
《卜算子》：我住长江头，君住长...,"爱情,绝世好词"
《江城子·乙卯正月二十日夜记梦...,"爱情,绝世好词"
人生若只如初见，何事秋风悲画扇...,"爱情,绝世好词"
成功的秘诀，在永不改变既定的目...,
一个人失败的最大原因，是对自己...,"人生,励志"
有志者，事竟成，破釜沉舟，百二...,励志
人生的磨难是很多的，所以我们不...,"人生,励志"
多数人都拥有自己不了解的能力和...,"人生,励志"
天才是百分之一的灵感加百分之九...,"人生,励志"
01.道可道，非常道。名可名，...,"人生,励志"
观自在菩萨，行深般若波罗蜜多时...,"人生,励志"
